,Unnamed: 0,trainName,trainNumber,stationFrom,stationTo,trainRunsOnSun,trainRunsOnMon,trainRunsOnTue,trainRunsOnWed,trainRunsOnThu,trainRunsOnFri,trainRunsOnSat,from_DepartureTime,from_StationName,to_StationName,to_ArrivalTime,dayCount,totalDistance
422,422,VADODARA EXP,12927,MMCT,BRC,Y,Y,Y,Y,Y,Y,Y,23:40,MUMBAI CENTRAL,VADODARA JN,05:55,2.0,392.0
423,423,CDG SUP FAST,22451,BDTS,CDG,N,Y,N,N,Y,N,N,12:15,BANDRA TERMINUS,CHANDIGARH,16:20,2.0,1605.0
424,424,TULSI EXPRESS,22130,ALD,LTT,N,Y,N,Y,N,N,N,18:45,ALLAHABAD JN,LOKMANYATILAK T,21:30,2.0,1510.0
425,425,MANGALORE EXP,16857,PDY,MAQ,N,N,N,N,N,N,Y,16:35,PUDUCHERRY,MANGALURU CNTL,10:10,2.0,863.0
426,426,COALFIELD EXP,12340,DHN,HWH,Y,Y,Y,Y,Y,Y,Y,05:55,DHANBAD JN,HOWRAH JN,10:30,1.0,259.0
427,427,RUNICHA EXPRESS,14659,DLI,JSM,Y,Y,Y,Y,Y,Y,Y,17:35,DELHI,BARMER,09:30,2.0,829.0
428,428,BVC ST LINK EXP,59230,BVC,ST,N,N,N,Y,N,N,N,18:55,BHAVNAGAR TRMUS,SURAT,07:15,2.0,526.0
429,429,BRINDAVAN EXP,12640,SBC,MAS,Y,Y,Y,Y,Y,Y,Y,15:00,KSR BENGALURU,MGR CHENNAI CTL,21:05,1.0,362.0
430,430,BDTS INDB SPL,09023,BDTS,INDB,N,N,N,N,N,N,Y,13:05,BANDRA TERMINUS,INDORE JN BG,03:55,2.0,818.0
431,431,PUNJAB MAIL,12138,FZR,CSTM,Y,Y,Y,Y,Y,Y,Y,21:40,FIROZPUR CANT,C SHIVAJI MAH T,07:35,3.0,1930.0
432,432,PUNE DURONTO EXP,12264,NZM,PUNE,N,Y,N,N,Y,N,N,10:55,H NIZAMUDDIN,PUNE JN,07:10,2.0,1520.0
433,433,NDLS MMCT SF SPL,09006,NDLS,MMCT,N,Y,N,Y,N,N,Y,14:50,NEW DELHI,MUMBAI CENTRAL,06:55,2.0,1384.0
434,434,LTT MUV SPL,01025,LTT,MUV,N,N,N,Y,N,N,N,00:45,LOKMANYATILAK T,MANDUADIH,04:45,2.0,1468.0
435,435,DIBRUGARH EXP,15929,TBM,DBRG,N,N,N,N,Y,N,N,21:45,TAMBARAM,DIBRUGARH,18:00,4.0,3348.0
436,436,SADBHAVANA EXP,14017,RXL,ANVT,N,N,N,N,Y,N,N,23:40,RAXAUL JN,ANAND VIHAR TRM,04:00,3.0,1286.0
437,437,GKP SHM EXPRESS,15022,GKP,SHM,N,Y,N,N,N,N,N,13:40,GORAKHPUR JN,SHALIMAR,10:00,2.0,1050.0
438,438,KCVL LTT SF EXP,22114,KCVL,LTT,N,Y,N,N,Y,N,N,00:35,KOCHUVELI,LOKMANYATILAK T,04:10,2.0,1813.0
439,439,LTT VSKP SUP EXP,22848,LTT,VSKP,N,N,Y,N,N,N,N,00:15,LOKMANYATILAK T,VISAKHAPATNAM,05:25,2.0,1649.0
440,440,SBC FAST PSGN,56910,HPT,SBC,Y,Y,Y,Y,Y,Y,Y,14:00,HOSAPETE JN,KSR BENGALURU,05:15,2.0,529.0
441,441,PURI SNSI EXP,18407,PURI,SNSI,N,N,N,N,N,Y,N,22:45,PURI,SAINAGAR SHIRDI,07:30,3.0,1687.0
442,442,INDB LPI HUMSAFR,19316,INDB,LPI,N,N,N,N,N,N,Y,07:00,INDORE JN BG,LINGAMPALLI,13:45,2.0,1543.0
443,443,UDYAN EXPRESS,11301,CSMT,SBC,Y,Y,Y,Y,Y,Y,Y,08:10,C SHIVAJI MAH T,KSR BENGALURU,08:50,2.0,1153.0
